Year,Month,Precipitation
1911,Aug,3.24
1911,Sep,4.86
1911,Oct,2.62
1911,Nov,2.01
1911,Dec,3.7
1912,Jan,2.5
1912,Feb,3.4
1912,Mar,3.7
1912,Apr,5.27
1912,May,3.9
1912,Jun,1.28
1912,Jul,2.62
1912,Aug,4.61
1912,Sep,5.56
1912,Oct,2.6
1913,Jan,3.08
1913,Feb,1.66
1913,Mar,4.83
1913,Apr,1.4
1913,May,3.05
1913,Jun,2.05
1913,Jul,0.42
1913,Sep,2.92
1913,Oct,3.99
1914,Feb,3.38
1914,Mar,5.72
1914,Apr,6.56
1914,May,2.05
1914,Jul,1.8
1914,Aug,4.85
1914,Sep,1.3
1914,Oct,1.3
1914,Dec,2.05
1915,Feb,3.98
1915,Apr,0.75
1915,May,3.25
1916,Sep,6
1916,Oct,2.5
1916,Nov,3.04
1917,Mar,1.84
1917,Apr,3.5
1917,Jul,3.76
1917,Aug,6.39
1917,Nov,0.65
1917,Dec,3.44
1918,Feb,1.43
1918,May,4.33
1918,Jun,2.95
1918,Aug,6.39
1918,Sep,4.95
1918,Oct,3.5
1918,Nov,2.65
1918,Dec,1.5
1919,Jan,1.9
1919,Feb,0.7
1919,Mar,1.65
1919,Apr,3.99
1919,May,3.33
1919,Jun,3.45
1919,Jul,5.66
1919,Aug,0.65
1919,Sep,2.95
1919,Oct,2.57
1919,Nov,2.4
1919,Dec,1.65
1920,Jan,1.9
1920,Feb,3.92
1920,Mar,0.8
1920,Apr,2.69
1920,May,0.5
1920,Jun,2.4
1920,Jul,4.76
1920,Aug,2.51
1920,Sep,6.91
1920,Oct,1.69
1920,Nov,2.26
1920,Dec,1.6
1921,Jan,1.07
1921,Feb,1.6
1921,Mar,2.15
1921,Apr,3.35
1921,May,1.85
1921,Jun,2.76
1921,Jul,3.96
1921,Aug,5.42
1921,Sep,1.92
1921,Oct,2.7
1921,Dec,1.65
1922,Jan,4.65
1922,Mar,3.86
1922,Apr,3.73
1922,May,3.55
1922,Jun,10.32
1922,Jul,2.05
1922,Aug,4.6
1922,Sep,1.03
1922,Oct,2.37
1922,Nov,1.8
1922,Dec,2.15
1923,Jan,2.02
1923,Feb,1.05
1923,Mar,0.9
1923,May,2.8
1923,Jun,3.65
1923,Jul,4.45
1923,Aug,1.56
1923,Sep,3.2
1923,Oct,2.65
1923,Nov,2.15
1923,Dec,1.75
1924,Feb,2.3
1924,Apr,2.1
1924,May,3.94
1924,Jun,3.65
1924,Jul,5.65
1924,Aug,2.65
1924,Sep,6.55
1924,Oct,0.1
1925,Feb,1.5
1925,Apr,2.81
1925,May,3.43
1925,Jun,4.85
1925,Jul,6.65
1925,Aug,3.35
1925,Sep,3.75
1925,Oct,2.38
1925,Nov,1.14
1926,Jan,3.53
1926,Feb,2.05
1926,Mar,1.41
1926,Apr,3.89
1926,May,0.74
1926,Jun,4.08
1926,Jul,4.11
1926,Aug,2.83
1926,Sep,6.58
1926,Oct,5.31
1926,Nov,4.57
1926,Dec,2.89
1927,Feb,2.92
1927,Mar,2.41
1927,Apr,2.52
1927,May,3.68
1927,Jun,2.44
1927,Jul,5.31
1927,Aug,2.4
1927,Sep,0.27
1927,Oct,6.63
1927,Nov,5.21
1927,Dec,3.03
